date,x,y,cluster_id
2020-07-10,9.148012,2.307985,2
2020-07-11,9.786723,2.3210707,2
2020-07-12,9.869498,2.419118,2
2020-07-13,10.271186,2.1640575,2
2020-07-14,10.353468,2.2373695,2
2020-07-15,10.6231985,1.9467105,2
2020-07-16,10.594853,1.861145,2
2020-07-17,10.681846,1.9990957,2
2020-07-18,10.709288,2.0127213,2
2020-07-19,10.698239,2.0558908,2
2020-07-20,10.688472,1.9458294,2
2020-07-21,9.536009,3.741776,2
2020-07-22,9.851766,3.4799895,2
2020-07-23,10.002004,3.269165,2
2020-07-24,10.075811,2.8518732,2
2020-07-25,9.897975,3.443164,2
2020-07-26,8.69924,4.513822,2
2020-07-27,1.2533399,6.4716806,1
2020-07-28,4.7655387,4.7122955,2
2020-07-29,4.4863405,5.7944055,1
2020-07-30,5.1671968,5.249481,2
2020-07-31,4.4455457,5.791037,1
2020-08-01,4.3279376,5.863916,1
2020-08-02,2.7434323,0.8313486,0
2020-08-03,7.302168,3.410059,2
2020-08-04,6.9119234,3.513296,2
2020-08-05,2.9219203,6.152853,1
2020-08-06,5.540405,4.560502,2
2020-08-07,4.8611226,4.031103,2
2020-08-08,7.4034696,3.3679724,2
2020-08-09,8.414813,3.5347164,2
2020-08-10,7.5383906,4.461554,2
2020-08-11,4.606529,0.6342698,2
2020-08-12,7.5633755,3.8505225,2
2020-08-13,7.524289,4.1954055,2
2020-08-14,7.274695,2.9835784,2
2020-08-15,7.9636645,3.2048285,2
2020-08-16,7.9714313,3.187964,2
2020-08-17,7.3674736,4.558292,2
2020-08-18,7.053688,2.3935459,2
2020-08-19,6.9532485,2.2116587,2
2020-08-20,7.827983,2.8309383,2
2020-08-21,6.1203647,1.3768463,2
2020-08-22,7.787289,2.4213216,2
2020-08-23,7.633717,1.7407277,2
2020-08-24,7.8331747,2.4175408,2
2020-08-25,5.698346,0.90586793,2
2020-08-26,8.142494,2.3687415,2
2020-08-27,6.695278,1.44575,2
2020-08-28,8.293864,2.9555569,2
2020-08-29,8.475267,1.7730676,2
